risk_group,model_group,model,feature,feature_group,feature_label,importance_type,importance,absolute_importance
Medium,Medium,gradient_boosted_trees,communication_barrier_pct,Demographic,Communication Barrier,impurity_importance,0.03562837053544673,0.03562837053544673
Medium,Medium,gradient_boosted_trees,precipitation_inches,Climate and hazard,Precipitation,impurity_importance,0.02843606478513405,0.02843606478513405
Medium,Medium,gradient_boosted_trees,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,impurity_importance,0.027278576184208675,0.027278576184208675
Medium,Medium,gradient_boosted_trees,utilities_pct_income,Economic and affordability,Utilities Share of Income,impurity_importance,0.02387597115009409,0.02387597115009409
Medium,Medium,gradient_boosted_trees,extreme_event_count,Climate and hazard,Combined Extreme Event Count,impurity_importance,0.020469035367164514,0.020469035367164514
Medium,Medium,gradient_boosted_trees,total_population,Demographic,Total Population,impurity_importance,0.019813693960019467,0.019813693960019467
Medium,Medium,gradient_boosted_trees,avg_temperature_f,Climate and hazard,Temperature,impurity_importance,0.009752065472829408,0.009752065472829408
High,High + Very High,gradient_boosted_trees,homes_sold_yoy,Housing market,Homes Sold Yoy,subgroup_permutation_mae,0.004275030324022395,0.004275030324022395
High,High + Very High,gradient_boosted_trees,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,subgroup_permutation_mae,0.002638091673795762,0.002638091673795762
High,High + Very High,gradient_boosted_trees,net_migration_rate_pct,Demographic,Net Migration Rate,subgroup_permutation_mae,0.0024808612346543467,0.0024808612346543467
High,High + Very High,gradient_boosted_trees,inventory_yoy,Housing market,Inventory Yoy,subgroup_permutation_mae,0.0014490770529625833,0.0014490770529625833
High,High + Very High,gradient_boosted_trees,utilities_pct_income,Economic and affordability,Utilities Share of Income,subgroup_permutation_mae,0.0013277937586346235,0.0013277937586346235
High,High + Very High,gradient_boosted_trees,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",subgroup_permutation_mae,0.0011684596254473143,0.0011684596254473143
High,High + Very High,gradient_boosted_trees,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,subgroup_permutation_mae,0.0011114972227104826,0.0011114972227104826
High,High + Very High,gradient_boosted_trees,new_listings_yoy,Housing market,New Listings Yoy,subgroup_permutation_mae,0.0011065868686317096,0.0011065868686317096
High,High + Very High,gradient_boosted_trees,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,subgroup_permutation_mae,0.0010623718006652968,0.0010623718006652968
High,High + Very High,gradient_boosted_trees,disability_pct,Demographic,Disability Status,subgroup_permutation_mae,0.000924942512106307,0.000924942512106307
