risk_group,model,repeat,fold,county_count,train_count,test_count,inner_splits,best_parameters,mae,rmse,r2,spearman
Low,elastic_net,1,3,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.5}",0.018955504176764067,0.027573898090691495,0.14850023775368093,0.4248630425621576
Low,gradient_boosted_trees,1,3,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.018543963584690824,0.027801987790020195,0.1343548597215617,0.4516550779603878
Low,median_baseline,1,4,1123,899,224,0,{},0.020575140972607146,0.02795060758074662,-0.01775543226080667,
Low,elastic_net,1,4,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.9}",0.017449669102273732,0.02420521808705551,0.23672871648795013,0.45788810591501183
Low,gradient_boosted_trees,1,4,1123,899,224,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.01619292066544513,0.02316240740680373,0.3010786360290333,0.5884892163143284
Low,median_baseline,1,5,1123,899,224,0,{},0.01887353230692857,0.02672525248069459,-0.009210875387740014,
Low,elastic_net,1,5,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.01591148303007792,0.023458986937186774,0.22239902735734374,0.5099519538757208
Low,gradient_boosted_trees,1,5,1123,899,224,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 125, ""model__subsample"": 1.0}",0.015421853411566261,0.022924315149345877,0.25744089304381945,0.5455509288917362
Low,median_baseline,2,1,1123,898,225,0,{},0.01921175778906667,0.026819454525524387,-0.003063698945152238,
Low,elastic_net,2,1,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.5}",0.017739833363646144,0.02509675675545355,0.12165762577971762,0.37670775389801947
Low,gradient_boosted_trees,2,1,1123,898,225,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.01673448069977596,0.024021663501431964,0.19529853800628993,0.4766750948166878
Low,median_baseline,2,2,1123,898,225,0,{},0.020893408423348893,0.030501748540117737,-0.00369226784058041,
Low,elastic_net,2,2,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.018040063256324956,0.02723436886265024,0.19982360393787502,0.49346291613990734
